,count,mean,std,min,25%,50%,75%,max
v14,17664.0,-0.000429798682978404,0.002417702955108829,-0.0172470242882638,5.342583749105151e-05,0.00020810762103794998,0.0003469413525385,0.0083291430566402
v15,17664.0,-0.000383073094687512,0.0015286276364115867,-0.010960427692582,-0.000476247787381975,0.00011587723902285,0.0002229709528453,0.0044253970063352
v16,17664.0,-0.0003615669392934811,0.0011142330104278713,-0.0081439940612606,-0.000741923386186975,0.0,0.0001887510647444,0.0028518405539326
v17,17664.0,-0.0003481338083216475,0.0008747539635841336,-0.0067227371091072,-0.00079984119672665,-0.000156871424971,0.00019149545299610002,0.0024454265611075
v18,17664.0,-0.00035700006377373353,0.0007842427311392615,-0.0060806038376995,-0.0007440969957629,-0.0002832585796636,0.00020081102329815,0.0017338435640309
v19,17664.0,-0.00035581634378311977,0.0007720608662904583,-0.0059368019375006,-0.00077000670329195,-0.00031025728311240004,0.00021362505175835,0.0015543001563088
v20,17664.0,-0.00035487417992672405,0.0008272875224602075,-0.0063036723143998,-0.00077909407732135,-0.00025166986694419996,0.000190363551654925,0.002323838047053
v21,17664.0,-0.00035319929144602373,0.0009105791604232634,-0.0072520803220126,-0.0007989594806387,-0.0001165064845368,0.0001813482507391,0.0017066683268045
v22,17664.0,-0.00034857952166076245,0.001115296675597428,-0.009184424854886,-0.000756648585377175,2.8999050550858677e-05,0.00018303737216685,0.0038080588520173
v23,17664.0,-0.0003890668417778466,0.001582533228921729,-0.0132500708698852,-0.00047406892510575,0.00012096028844415,0.000229107204080425,0.0027941994442113
v24,17664.0,-0.00041785347095746924,0.0024632769625642583,-0.0229206136205744,6.3639312529052e-05,0.0002040864850835,0.00035258179337245,0.0057780754845204
v25,17664.0,-0.000761117529111372,0.0054330726295074554,-0.0560943062186011,0.000138034055377825,0.0003548927388739,0.000695099230171525,0.0055284571927926
v26,17664.0,-0.0006738421529705065,0.005204513650771263,-0.0355157398774931,0.000130294551863825,0.00035676845081565004,0.0006619262095074,0.0167857252622885
v27,17664.0,-0.0007292746386078344,0.005115841949291107,-0.045551037319321,0.000135876388001075,0.00035901438452475,0.000619203400928575,0.0063941623921669
v28,17664.0,-0.00046238975519402863,0.0024362829800754116,-0.0194428312930499,2.175887884693986e-05,0.00019338726827505,0.00033742144259982503,0.0045626466849498
v29,17664.0,-0.00038075507014329176,0.0015065189421920972,-0.0114864975244839,-0.000463708983221475,0.00011295866294055,0.000225473729773925,0.0035604302800811
v30,17664.0,-0.000345266289012495,0.0010484896649502421,-0.0080652713148208,-0.000787046087540425,4.835858535209847e-07,0.00018201186321415,0.0031515910257281
v31,17664.0,-0.00035265987017345257,0.0008538560034794147,-0.0064019443266709,-0.0007797671674176501,-0.00016708953486335,0.00017855109498155001,0.0015005475162123
v32,17664.0,-0.00034998469776761513,0.0007786688544410697,-0.0055774280625367,-0.000772726138885925,-0.0002484498328212,0.0001891026384638,0.0014281606554737
v33,17664.0,-0.00034883561216618453,0.0007687083269930032,-0.0053347308583991,-0.000752415508551425,-0.00028812166999104996,0.0002002643698744,0.0021746815724558
v34,17664.0,-0.00034632387417722187,0.0007829803282175187,-0.0054943265785791,-0.0007530083985968,-0.00026435379874990004,0.000189639813143925,0.0016482262680476
v35,17664.0,-0.0003388049525588938,0.0008656161809951193,-0.0060331087493905,-0.000757664149808375,-0.00014729036900684999,0.000178322596173825,0.002969758402151
v36,17664.0,-0.0003578225367959309,0.0011003267746431007,-0.0085505051566769,-0.0007278607992459749,2.6567959028455518e-06,0.00019173912944929998,0.0027475814442335
v37,17664.0,-0.0003429240764989976,0.0014310069226185628,-0.0099687425525284,-0.00036953616523315003,0.00012170768719084999,0.0002284389692778,0.0043172009740948
v38,17664.0,-0.0004297829616142422,0.0023408890151212416,-0.0157661403953186,6.981164992315644e-05,0.00020827869781855,0.00034911380709227503,0.0082587605334548
v39,17664.0,-0.0003999937596519896,0.0023687167994346555,-0.0187818329389884,5.469303611193785e-05,0.00020581017100249998,0.00035217108229942495,0.0084775626243476
v40,17664.0,-0.0007536356391387989,0.0051817880122342775,-0.0439790089438683,0.000134431928124125,0.00033831468158635,0.000633100935389725,0.0051465429908739
v41,17664.0,-0.0007852994282716204,0.005287587369726298,-0.0413290416442158,0.00013573808387774998,0.00035269621345280003,0.0006284687135242001,0.0057670214664307
v42,17664.0,-0.00045167437892223446,0.002415681098003397,-0.0167320469522877,3.9470160897833034e-05,0.00020937837291565,0.000346851720716975,0.0077336003421846
v43,17664.0,-0.0003475056449901136,0.0014258211206385066,-0.0095106849936349,-0.00048053865413607503,0.00011423645118995,0.000238481876801675,0.0046251515591124
v44,17664.0,-0.0003477471491348204,0.0010330091134802977,-0.0070143836202352,-0.000723578979035725,0.0,0.00019284527404385,0.0026648353047518
v45,17664.0,-0.00034179341205669547,0.000865856601509516,-0.0061342264024702,-0.000775013016509575,-0.00011767649256585,0.00018350641092525,0.0019695758442241
v46,17664.0,-0.0003410081545876708,0.0007867783712034327,-0.0054588060632385,-0.0007508283507555249,-0.00026928534613275003,0.00018638381753969998,0.0021986021331909
v47,17664.0,-0.00033979766521774387,0.000748832544892895,-0.0054300530173688,-0.0007389859098036,-0.0002725814022154,0.0002000421263189,0.00155792253728
v48,17664.0,-0.00033339395218782725,0.0007590602385980343,-0.005345439413132,-0.0007435124628772,-0.00025400431054230005,0.000192125433111125,0.002546300211611
v49,17664.0,-0.00034670049903686215,0.000886772582284305,-0.007089480948604,-0.000765427271814475,-0.00018224855506214998,0.000180803531763825,0.0014931462471847
v50,17664.0,-0.0003241938189580773,0.0010191583098910087,-0.0077295020296318,-0.000728697425982925,0.0,0.00018821737615075,0.002139370380708
v51,17664.0,-0.00035365220503878866,0.0014326776889172694,-0.0110268579262853,-0.000385444597032125,0.0001197223374238,0.0002271953304393,0.0030747690974831
v52,17664.0,-0.00033185311162748857,0.0014352294100206662,-0.0093102321516943,-0.000459482165897625,0.00012104124890675,0.000234536691771975,0.0048326440475439
v53,17664.0,-0.0004297986829783903,0.002417702955108828,-0.0172470242882638,5.3425837491072325e-05,0.0002081076210379,0.0003469413525385,0.0083291430566403
v54,17664.0,-0.0007292746386078483,0.0051158419492911165,-0.0455510373193211,0.00013587638800090002,0.00035901438452465,0.0006192034009285499,0.0063941623921668
v55,17664.0,-0.000752743889047711,0.005220874036414179,-0.0431339682038242,0.00013457228716019998,0.0003438328979674,0.0006355406454854749,0.0094683324552907
v56,17664.0,-0.00038633013071932967,0.0023249968350072397,-0.0184411536830941,2.8370643495374825e-05,0.00021078161147275,0.00034683276674355,0.0080883625619255
v57,17664.0,-0.0003539694155178431,0.0014281945067465185,-0.0108130360330196,-0.000428785975576675,0.00011486266263095,0.00023176019641994998,0.0035620345150251
v58,17664.0,-0.00033529628188727156,0.001070093222531656,-0.0077617867088548,-0.000748554939478,1.8685556239987286e-05,0.0001874023512897,0.0024214513886452
v59,17664.0,-0.00033255148836623015,0.0008802701258981281,-0.0060476065770941,-0.000797164979786225,-0.0001642730979458,0.00018302771526282498,0.0024035200151525
v60,17664.0,-0.00033294133926123175,0.0007799712362730228,-0.0058035938197377,-0.0007511057608964001,-0.00025838672394335,0.00019609513690897501,0.0016712356937801
v61,17664.0,-0.0003288481671957502,0.0007277438229711342,-0.0049647586546059,-0.000737063794092375,-0.0002771663890361,0.0002172245011395,0.0023759304271541
v62,17664.0,-0.00034206789672965195,0.0007901319545991029,-0.006432976365693,-0.0007359454760859,-0.00026477147029455,0.00020426216367840002,0.0016437607992555
v63,17664.0,-0.00032031080521849716,0.0008217437611848501,-0.0056441888107953,-0.0007457850378982,-0.0001272877028719,0.00019018191109655,0.0019916295392439
v64,17664.0,-0.00033354588767423645,0.0010336234985765828,-0.0068711307740195,-0.000707017116739025,1.3658388090045936e-06,0.00019194768197065002,0.0027015903500279
v65,17664.0,-0.0003426791381769017,0.0010612786293045175,-0.0073822865248483,-0.00079408278748785,-3.847362150810608e-07,0.00018540075436667498,0.0032823999877231
v66,17664.0,-0.0003830730946875986,0.0015286276364115876,-0.0109604276925821,-0.00047624778738215,0.00011587723902275,0.0002229709528452,0.0044253970063351
v67,17664.0,-0.0004623897551940311,0.00243628298007542,-0.01944283129305,2.1758878846919044e-05,0.00019338726827505,0.00033742144259975,0.0045626466849498
v68,17664.0,-0.0007852994282715805,0.005287587369726291,-0.0413290416442158,0.000135738083877825,0.00035269621345285,0.0006284687135243001,0.0057670214664308
v69,17664.0,-0.0006857562587348432,0.005101557615078655,-0.038319987248217,0.0001292127084959,0.00035905970724425004,0.0006487354776164749,0.0153787155439363
